type,id,question,answer,condition
synthesis,Elsevier_OER_01532,"In the hydrothermal synthesis of CoMoO4·H2O with a reaction time of 6 hours, what is the reaction temperature?",150 °C,1
performance,Elsevier_OER_06804,What is the overpotential of M-C@CFOSs to reach 10 mA cm-2 for OER?,330 mV,1
performance,Elsevier_OER_06204,What is the overpotential of HNPs to reach 10 mA cm-2 for OER?,290 mV,1
performance,ACS_OER_00380,What is the Tafel slope of LFNOSe-III for the oxygen evolution reaction?,95 mV dec-1,1
synthesis,Elsevier_OER_02376,"In the hydrothermal synthesis of NiOF using nickel(II) chloride hexahydrate as precursor with a reaction time of 1 hours under air atmosphere, what is the reaction temperature?",150 °C,1
synthesis,Wiley_OER_00279,"In the hydrothermal synthesis of DS--NiFe LDH using NiCl2·6H2O as precursor with a reaction time of 8 hours under nitrogen atmosphere, what is the reaction temperature?",120 °C,1
performance,Elsevier_OER_05601,What is the Tafel slope of NiCo/Ni/CuO/CF for the oxygen evolution reaction?,37.9 mV dec-1,1
performance,Elsevier_OER_01293,What is the Tafel slope of K-ZIF-67-Ac-800 for the oxygen evolution reaction?,56.9 mV dec-1,1
performance,RSC_OER_00070,What is the Tafel slope of CoOx/FeOx/CNTs for the oxygen evolution reaction?,43 mV dec-1,1
synthesis,ACS_OER_00598,"In the hydrothermal synthesis of CuCo2Se4 with a reaction time of 24 hours, what is the reaction temperature?",145 °C,1
synthesis,Elsevier_OER_01507,"In the hydrothermal synthesis of CoFe-BDC using Co(NO3)2·6H2O as precursor with a reaction time of 12 hours, what is the reaction temperature?",150 °C,1
performance,Elsevier_OER_08231,What is the Tafel slope of CC@CoO@FeOOH-NWAs for the oxygen evolution reaction?,82 mV dec-1,1
synthesis,Elsevier_OER_07114,"In the hydrothermal synthesis of CoFeZr0·1/NCBC using FeCl3·6H2O as precursor with a reaction time of 15 hours, what is the reaction temperature?",160 °C,1
performance,Elsevier_OER_01082,What is the Tafel slope of C@NiCo12 for the oxygen evolution reaction?,157 mV dec-1,1
